artist_popularity,followers,genres,id,name
33,67,[],0DMEZLiozBGN9v24wCvbmO,Clipson
43,13533,"['danish hip hop', 'danish pop']",05X5qdeeGgBQe115bTNlWu,Pede B
29,1,[],3z1s38DEedEUnDX778wDpt,PRJCT Amsterdam
5,52,[],3v8xf07HyOPxdX9lGJAJII,Los K-Ramones
41,72953,"['brostep', 'dubstep', 'filthstep', 'zapstep']",2uGNBmaWvxF6HAcWuhK7OP,Cookie Monsta
8,206,[],2rmq8jyOQONkcsrcgPG93K,Ravi Kuma
24,1,[],7sP1bCZd4bnAU6Q6TGTh15,John Adams
43,13717,"['brostep', 'filthstep', 'shiver pop', 'zapstep']",1018anDqhwhKxaTd9ZeVtU,The Frim
36,22447,"['french reggae', 'latin alternative', 'ska jazz']",6FaSJ1FXpb5QxKu77LPiZr,Sergent Garcia
31,2980,[],2ihPQnVz8d2ePjGcXLbNf8,Sam Lamar
5,117,['danish metal'],1rPBwxGjCnjJ91Z8j1wLlc,Royal Deceit
26,38,[],07xL1WAbRibowOWCLT5eHy,LSO Percussion Ensemble
47,2117,[],1nr8dFeHWacZk5ILVukE5G,Wild Boyz!
3,2,[],3BQo5BN619XAEAbtxI3L1K,Andrés Felipe Molina
36,6680,"['classic persian pop', 'persian alternative', 'persian traditional']",6zhA5Vu3mPLVuSCf3RVtxH,Mahsa Vahdat
43,1683,[],0DqyXytFE3qSI15jPYUSrQ,Mikey Ceaser
24,0,[],7jLr9hLgm1Ly5PNgVAXKnS,Joseph Havlat
40,5320,"['brostep', 'zapstep']",2m8lZUuPm2BLQ2c8gtIAV6,UBUR
3,19,[],3LdDuMrZN4bVSgsU9MybIO,Litoral
33,983,[],5nqUtQMGVUQ1EfFl7gADJQ,Marjan Vahdat
18,81,"['fallen angel', 'gothic symphonic metal', 'symphonic metal']",6L93bJoCWrPR2n6dQq8IVQ,Temujin
24,11,[],0C1VOHhFkjMi5YKPpa5HjI,Trio Metral
40,2508,[],2mxNzGDRK6oFFJN8CqBUNr,Skellism
27,1479,['colombian indie'],4DgmNZDjpk4Zj547a2bfcH,Buendia
22,4,[],7iAwYDhe6RL86I2RwbPEgG,Charles Anthony Silvestri
40,1370,[],33V85rIqEG13X0uQPmGC89,Warez
50,118911,"['bass trap', 'brostep', 'catstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'moombahton', 'zapstep']",4dvZ0abeUaiHm7Fu9Gj0PQ,Eptic
23,28,[],2zsxi3pmYhYkFeC6qYhH7K,Nadav Hertzka
19,157,"['early music', 'french renaissance', 'renaissance']",0C5OqfVCg4hl8uS0Sn6bRh,Pierre Certon
49,82500,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'zapstep']",04vdWVjgi45nrMAxeCEVQe,Bear Grillz
49,9388,['zapstep'],45eOANIj1vvkt8olH7Zh71,Spock
22,167,['avant-garde'],1EKhJjacXmWNA8zJaBF7Cm,Henri Sauguet
36,3451,"['drum and bass', 'jump up', 'jungle', 'neurofunk']",23DzvutdyC9J2ZXlovvLE9,Shimon
20,110,['classical mezzo-soprano'],4NsS37EcAaYzIJHs8USEcx,Stéphanie D'Oustrac
42,52775,"['brostep', 'electro house', 'filthstep', 'zapstep']",6v1BAWFVNPbPJlnFHWR78D,FuntCase
29,143,[],5DzPI26WZHcfgG9K2UTC7K,Sora
25,13,[],0mGpC9eZs3rJQqs3IzBrWG,Joël Suhubiette
41,10039,"['drum and bass', 'jump up', 'liquid funk', 'neurofunk']",4HVopeHcb4aGTBsfIRrRcQ,InsideInfo
19,4,[],4yWvsA5YVPt4pQvOAPeI3f,Pascal Jourdan
29,227,[],6UU6uoqbBiwayOXapYoBI0,Trilla
